,correct regex,faulty regex
1,(a*ba*b)*a*ba*,(a*)b((a*)(b(a*b)b))+a*
2,(a*ba*b)*a*ba*,a*b(bb+|a*|bab)*
3,(a*ba*b)*a*ba*,(bb)+
4,(a*ba*b)*a*ba*,a*b(a|(ba*b))b
5,(a*ba*b)*a*ba*,a*b(bb)*(a+b(bb)*)*a*
6,(a*ba*b)*a*ba*,a*b(ba*(b|a)a)*
7,(a*ba*b)*a*ba*,(a)*(b|bb)(a)*(bb)*(a)*
8,(a*ba*b)*a*ba*,(a*ba*(bb)*a*)|(a*bba*(b)*a*)
9,(a|(b*bb))*,bb(a|b)*b
10,(a*ba*b)*a*ba*,"b(b{2,})*"
11,(a*ba*b)*a*ba*,(((a*)+b+(a*)+b+(a*))*)+b+(((a*)+b+(a*)+b+(a*))*)
12,(a*ba*b)*a*ba*,a*b(bb+|a*)*
13,(a|(b*bb))*,(a|b)*b+bb+(a|b)*
14,(a*ba*b)*a*ba*,(a*)b(a*|bb*)
15,(a|b)*baa(a|b)*b,(a*b*)*bba(a*b*)*b
16,(a|baa)*,a*ba*((ab|ba|b)b)*a*
17,(a*ba*b)*a*ba*,((a*)+b+(a*)+(bb*)+(a*))
18,(a*ba*b)*a*ba*,(a*b(a*)(bb*))|(a*(bb)*a*b)
19,(a*ba*b)*a*ba*,a*b+(bb*|a*)bb*
20,(a|(b*bb))*,a*bb*a*bb*
21,(a|b)(a|b)+aaa+,(aa|bb)*aaa
22,(a|b)(a|b)+aaa+,((b)+(aaa+))
23,(a|b)(a|b)+aaa+,bbb*aaa*
24,(a|baa)*,"b+a{2,}"
25,(a|baa)*,b(b*)aa(a*)
26,(a|b)(a|b)+aaa+,(a|b{2})+a{3}a*
27,(a|b)(a|b)+aaa+,b|(a*b*)*aaa
28,(a|b)(a|b)+aaa+,(a|b)|(a|b)*(aaa)a*
29,(a|baa)*,(b)+(a)+(a)*
30,(a|baa)*,"[a-b](ba{2,})?"
31,(ab|ba)*,(ab|ba?)(aa|ab|ba|bb)*
32,(a*ba*b)*a*ba*,a*b(bb)*a*(b(bb)*)*a*
33,(a*ba*b)*a*ba*,a*ba*|a*bbb*a
34,(a*ba*b)*a*ba*,(b+(bb*))
35,(a*ba*b)*a*ba*,bb*b
36,(a*ba*b)*a*ba*,bb*b+
37,(a*ba*b)*a*ba*,b+((bb)*(a)*)*
38,(a|(b*bb))*,b(a+b)*b
39,(a|baa)*,(b)+(aa)*
40,(a*ba*b)*a*ba*,b+(a*|bb*)
41,(a|(b*bb))*,(bb*)+(bbb)*
42,(a*ba*b)*a*ba*,a*(b+)bb*
43,(a*ba*b)*a*ba*,(b|(ab|ba)+)b
44,(a|(b*bb))*,(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*
45,(a|(b*bb))*,(a|b)*bb*b(a|b)*
46,(a|(b*bb))*,(a|b)*bb(a|b)*
47,(a*ba*b)*a*ba*,ba*b|a*ba
48,(a*ba*b)*a*ba*,(a|bb)*(b)+(a|bb)*
49,(a|b)*baa(a|b)*b,(ba*)+b
50,(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b
51,(a|b)*baa(a|b)*b,(a*(b+a+)+b+)
52,(a|(b*bb))*,b(ab+ba+b)*
53,(a*ba*b)*a*ba*,(bb)*a*ba*(bb)*(ab)*
54,(a*ba*b)*a*ba*,a*(bb)*a*b+a*(bb)*a*
55,(a*ba*b)*a*ba*,b(a*bb*)
56,(a|(b*bb))*,b+(a+b)*b
57,(a*ba*b)*a*ba*,(a*)+b+((a*)|(b+(a*)+b))+(a*)
58,(a*ba*b)*a*ba*,b*ab*ba*
59,(a*ba*b)*a*ba*,a*b+(a|b(a)*b)*
60,(a*ba*b)*a*ba*,a*b+(a|ba*b)*
61,(a|b)(a|b)+aaa+,(a+|b+)*aaa
62,(a|b)(a|b)+aaa+,(a*|b*)+(a*|b*)+aaa+
63,(a|b)*baa(a|b)*b,(a|b)*aab+(a|b)*b
64,(a|b)*baa(a|b)*b,(a|b)*aab(a|b)*b
65,(b|(a*aa))*,(b*|ab+)*aa(a+b)*
66,(a|b)(a|b)+aaa+,(a|b)*aaaa*
67,(a|b)(a|b)+aaa+,(a|b)*(aaa)a*
68,(a|b)(a|b)+aaa+,(a|b)*aaa(a)*
69,(a|b)(a|b)+aaa+,(a|b)*(aaa)+
70,(a|b)(a|b)+aaa+,(a|b)*a{2}aa*
71,(a|b)(a|b)+aaa+,(a|b)*a{3}
72,(a|b)(a|b)+aaa+,[ab]*a{3}
73,(a|b)(a|b)+aaa+,(a+|b+)*aa(a+)
74,(a|b)(a|b)+aaa+,(aa*|ab*|ba*|bb*)*aaaa*
75,(a|b)(a|b)+aaa+,(a*b*)*aaa
76,(a|b)(a|b)+aaa+,(a|b)*(a|b)*aaa
77,(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa
78,(a|b)(a|b)+aaa+,aaa(a)*|(a|b)*baaa(a)*
79,(a|b)(a|b)+aaa+,"(a|b|aa|bb|ab|ba)*a{3,}"
80,(a|b)(a|b)+aaa+,(aa|ab|ba|bb|b)*(aaa)a*
81,(a|b)(a|b)+aaa+,(a*|b*)*(a)(a)(a)(a*)
82,(a|b)(a|b)+aaa+,(aa|ab|ba|bb|b|a)*(aaa)a*
83,(a|b)(a|b)+aaa+,"(a|b)*(a|b)*a{3,}"
84,(a*ba*b)*a*ba*,(a)*(b)*(a)*(b)(a)*(bb)*(a)*
85,(a*ba*b)*a*ba*,(a*)b+((a*)|(b(a*)b))+(a*)
86,(a*ba*b)*a*ba*,a*b+(a*|(b(a*)b))+a*
87,(a*ba*b)*a*ba*,(a*)b+((a*)|(b(a*)b))*
88,(a*ba*b)*a*ba*,(b)*a*(b|bb*)a*(b)*
89,(a|b)*baa(a|b)*b,[ab]*[baa][ab]*b
90,(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa
91,(a|b)(a|b)+aaa+,((a|b)*(aaa+))
92,(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(a|b)*aaa
93,(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(a|b)*(aaa)
94,(a|b)(a|b)+aaa+,[ba]*aaa
95,(a|b)(a|b)+aaa+,(a*b*)+a+a+a
96,(a|b)(a|b)+aaa+,(a|b)*aaa
97,(a|b)(a|b)+aaa+,"(a|b)*a{3,}"
98,(a|b)(a|b)+aaa+,(a|b)*aaa+
99,(a|b)(a|b)+aaa+,(a|b)*(aaa)
100,(a*ba*b)*a*ba*,b(a*ba*ba*)*a*ba
101,(a|baa)*,(a|b)*aa+
102,(a|baa)*,"[ab]*b?a{2,}"
103,(a|baa)*,(a|b)*b*aa+
104,a+b,(a*b)*a
105,(a|b)(a|b)+aaa+,(a*b*)(a*b*)aaa(a)*
106,(a*ba*b)*a*ba*,((b)(a))+
107,(a*ba*b)*a*ba*,b*(ab*ba)
108,(a|b)*baa(a|b)*b,(a)*(b)*(baa)*(b)*(a)*(b)
109,(a*ba*b)*a*ba*,a*(bab*)*b
110,(a|b)*baa(a|b)*b,(a|b)*b(aa*)b
111,(a|b)*baa(a|b)*b,(a*)(b*)(aa*)b
112,a+b,[ab]*[a][b][ab]*
113,(b|(a*aa))*,b*aa*b*
114,(b|(a*aa))*,(b*aa*b*)|(b*a*ab*)
115,a+b,[ab]*(ab)[ab]*
116,(a*ba*b)*a*ba*,b+a(a+b)((b+a)(b+a))*
117,(a|baa)*,"(a|b)*a{2,}"
118,(a|baa)*,(a|b)*aa
119,(a|baa)*,"[ab]*a{2,}"
120,(a|b)(a|b)+aaa+,(a|b)*aaa*
121,b*a*,[ab]*baa[ab]*b
122,b*a*,(b|a)*(baa)+(a|b)*b+
123,(a|b)*baa(a|b)*b,a*b*(baa)+a*b*
124,(a|b)*baa(a|b)*b,(baa)*b
125,(a|(b*bb))*,a*b*(ba+ab)b*a*
126,(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*a|b*(aaa)
127,(a|b)*baa(a|b)*b,(a*b*)*(baa)+(a*b*)b*
128,(a|b)*baa(a|b)*b,(a*b*)*baa(a*b*)b*
129,(a|b)*baa(a|b)*b,(a|b)*baa+b*
130,(a|b)*baa(a|b)*b,ab|a*b*(baa)b
131,(a*ba*b)*a*ba*,b(aa+ab+ba+bb)*
132,(a|baa)*,((b)*(a)+(a+))+
133,(a|baa)*,"(a|b)*b*a{2,}"
134,(a|baa)*,[ab]*[b]?([a]{2}[a]*)
135,(a|baa)*,(a|b)*(aa)*aaa*
136,(a|b)*baa(a|b)*b,(a)*(b)*(baa)*(a)*(b)
137,(b|(a*aa))*,b*aa(a+b)*
138,(a*ba*b)*a*ba*,(b)((a|b)(a|b))*
139,(a|b)(a|b)+aaa+,(a+b)*aaa|(b+a)*aaa
140,(a|baa)*,(a)*baa(a|b)
141,(a|b)(a|b)+aaa+,ba*aaa+
142,(a|b)(a|b)+aaa+,"[ab]a{3,}"
143,(a|b)(a|b)+aaa+,ab|ba|aa|bb|a*b*aaa
144,(a|b)(a|b)+aaa+,(a*b*)(aaa+)
145,(a|b)(a|b)+aaa+,a*b*a*aaa
146,(a|b)(a|b)+aaa+,(a*b*)a{3}a*
147,(a|b)(a|b)+aaa+,a*b*a+a+a+
148,(a|baa)*,"a*b*aa{2,}"
149,(a|b)(a|b)+aaa+,(a*b*)a{3}
150,(a|b)(a|b)+aaa+,a*b*aaa
151,(a|b)(a|b)+aaa+,a*b*a{3}
152,(a|b)(a|b)+aaa+,a|a*(baaa)a*
153,(a|b)(a|b)+aaa+,(aa*|bb*)aaa+
154,(a|baa)*,b+(aa)
155,a(a|b)*b,b(a|b)a
156,(a*ba*b)*a*ba*,a*b(a|b){2}
157,(a|b)*baa(a|b)*b,(a*b*)*(baa+|b)+
158,(a|baa)*,(b)(aa+)*
159,(a|baa)*,(a|b)*baa+
160,(a|baa)*,"[a-b](b)?a{2,}"
161,(a|baa)*,a*b(aa+)*
162,(a|baa)*,a*(baaa*)+(a|b)*
163,(a|baa)*,(a)*b*(a)(a)
164,(a|baa)*,(a*)b*aa(a*)
165,(a|baa)*,a*b*aaa*
166,(a|baa)*,a*b*aa+
167,(a|baa)*,(a*b*aa+)
168,(a|baa)*,a*b*(aa)a*
169,(a|baa)*,"a*b*a{2,}"
170,(a|baa)*,(a*)+(b*)+a+a
171,(a|baa)*,((a*)+(b*)+(aa)+(a*))
172,(a*ba*b)*a*ba*,((b)(a)+)|((bbb)+(a)*)
173,a+b,b+a
174,(a*ba*b)*a*ba*,b(a|b)*
175,(a*ba*b)*a*ba*,a*b((ba*|a))a*
176,b*a*,(a+)|(a*b+a*)
177,b*a*,((a+)|a*b+a*)
178,(a|b)*(bab)(a|b)*,bab*
179,a+b,ba+
180,(a*ba*b)*a*ba*,"a*b(b{2,})*a*"
181,(a*ba*b)*a*ba*,(a|b(a)*a)*b(a)*
182,(a*ba*b)*a*ba*,a*b(a*ab*b)*a*
183,(a|baa)*,(a*(baa*))
184,(a|baa)*,(a*baa*)
185,(a|baa)*,(a)*(b)(aa*)
186,(a|baa)*,a*baa*
187,(a|baa)*,a*baa*a*
188,(a*ba*b)*a*ba*,a*b(ab*b|a)*
189,(a|baa)*,(a)*(b)*(a)*(a)
190,b*a*,a*b*a+
191,a+b,(a*)ba
192,(a|baa)*,(a|ba*a)+
193,(a*ba*b)*a*ba*,b(b)*|(b)*b
194,(a|(b*bb))*,b+
195,(a|(b*bb))*,b*b
196,(a|(b*bb))*,b*b|bb*
197,(a|(b*bb))*,b*bb*
198,(ab|ba)*,(ab|ba?)(aa|ab|ba|bb?)*
199,(a*ba*b)*a*ba*,a*(b+)(bb)*
200,(a*ba*b)*a*ba*,(a)*(b(bb)*)+
201,(a|(b*bb))*,a*b+
202,a+b,a*b+
203,(a*ba*b)*a*ba*,(a*|b+)bb*
204,(a|b)*baa(a|b)*b,(a*)(b*|aa*)b
205,a+b,(a)*(b+)
206,(a*ba*b)*a*ba*,(a*ba*)+
207,(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*
208,(a*ba*b)*a*ba*,(a*(ba*b)*ba*)+
209,(a*ba*b)*a*ba*,(((a*)*(b*))*(b*))+b+(((a*)*(b*))*(b*))
210,(a*ba*b)*a*ba*,b|aa*bb
211,(a|baa)*,a*(b(aaa*)*)a*
212,(a|baa)*,a*(b(aa)*)a*
213,(a|baa)*,a*ba*
214,(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)*
215,(a*ba*b)*a*ba*,a*ba*(ba*b)*(a*b*)*
216,(a*ba*b)*a*ba*,a*(ba*(bb)*)(ba*(bb)*)*a*
217,(a*ba*b)*a*ba*,((a*(bb)*a*)ba*)+
218,(a*ba*b)*a*ba*,a*b(a*b)*a*
219,(a|(b*bb))*,(a|b)*bb*(a|b)*
220,(a|(b*bb))*,(a|b)*b+(a|b)*
221,(a|baa)*,a*b(aaa*)*(a|b)*
222,(a|(b*bb))*,(a|b)*b*b(a|b)*|(a|b)*bb*(a|b)*
223,(a|(b*bb))*,(a|b)*b*bb*(a|b)*
224,(a*ba*b)*a*ba*,a*b(a*|ba*|b)*a*
225,(a*ba*b)*a*ba*,a*b((ba*|a)*)a*
226,(a*ba*b)*a*ba*,(a|b)*b((a)|(bb))*
227,(a*ba*b)*a*ba*,((a|b)*|(a|bb)*)*b((a|bb)*|(a|b)*)
228,(a*ba*b)*a*ba*,(a|ba*)*ba*
229,(a*ba*b)*a*ba*,a*b(bb*|a*)*
230,(a*ba*b)*a*ba*,a*b+(bb*|a*)*
231,(a*ba*b)*a*ba*,(a)*b(a|(ba)*b)*
232,(a*ba*b)*a*ba*,(a|b)*(b)(a|b)*
233,a+b,(a*b|a)
234,a+b,(a|a*b)
235,a+b,a|a*b
236,a+b,(a*b{1})
237,a+b,(a*)+b
238,a+b,(a+)*(b)
239,a+b,(a*b)
240,a+b,a*(b)
241,a+b,a*b{1}
242,a+b,a*b
243,a+b,(a)*(b)
244,a+b,(a*)(b{1})
245,a+b,(a|a*)b
246,a+b,[a]*b
247,a+b,(a|a*)(b)
248,a+b,(a*)b
249,a+b,(a)*b
250,a+b,[a]*[b]
251,a+b,(a*)(b)
252,(a|baa)*,(b|aa)a*
253,a+b,[a]*[ab]
254,(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*
255,(a*ba*b)*a*ba*,a*ba*(bb)*a*b*
256,(a|baa)*,a*b(a*ba*b)*a
257,(a*ba*b)*a*ba*,(a|b)(bb)*
258,(a|b)(a|b)+aaa+,(ab)*(ba)*(b)*(aaa+)
259,(a*ba*b)*a*ba*,(a*ba*(bb)*a*)|(a*bba*(b)*a*)|(ba*ba*ba*)
260,(a*ba*b)*a*ba*,(a*ba*ba*b)+|b
261,(a*ba*b)*a*ba*,(a*ba*ba*b)+|ba*
262,(a|(b*bb))*,(a+bb)*bb*
263,(a*ba*b)*a*ba*,(a|(ba*b))*b+a*
264,(a|b)*baa(a|b)*b,[ab]*[b][aa][ab]*[b]
265,(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)
266,(a*ba*b)*a*ba*,a*ba*(ba*b)(a*b*)*
267,(a|baa)*,[a-b]*[b]+a{2}
268,(a|b)*baa(a|b)*b,[ab]*(baa)+[ab]*b[ab]*
269,b*a*,(b|a)*(baa)+(a|b)*b
270,b*a*,(a*b*)*baa(a*b*)*b
271,(a|baa)*,(a|b)*(baa)+(a|b)*
272,(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)*
273,(a|b)*baa(a|b)*b,(a|b)*(baa)(a|b)*
274,(a|b)*baa(a|b)*b,(b*a*|a*b*)*(baa)+(b*a*|a*b*)*
275,(a|baa)*,[a-b]*[b]+a{2}[a-b]*
276,(a*ba*b)*a*ba*,a*b(b|ab*b)*
277,(a*ba*b)*a*ba*,a*b(a*ba*b)*b
278,(a|baa)*,(a|b)*baaa*
279,(a|baa)*,(b|a)*baaa*
280,(a|b)*baa(a|b)*b,(a|b)*(baa)(b)(a|b)*
281,(a|b)*baa(a|b)*b,[ab]*(baa)+b[ab]*
282,(a*ba*b)*a*ba*,(a*b+)+
283,(a*ba*b)*a*ba*,((a*|bb*)b)+
284,(a*ba*b)*a*ba*,((a*(bb)*a*)b)+
285,(a*ba*b)*a*ba*,a*b(bb)*(a*b(bb)*)*
286,(a*ba*b)*a*ba*,(a|bb|b)*b
287,(a|b)*baa(a|b)*b,(a*|b*|baa)+b+
288,a+b,(a|b)*a*b
289,(a|b)*baa(a|b)*b,(a|b)*(a|b)*b
290,(a|b)*baa(a|b)*b,(a|b|baa+)*b
291,(a|b)*baa(a|b)*b,((a|b)*|(baa+))b
292,(a|b)*baa(a|b)*b,([ab]*(baa)*[ab]*)*b
293,(a|b)*baa(a|b)*b,(a*b*)*(baa)*(a*b*)b
294,(a|b)*baa(a|b)*b,(a*b*(baa+)*a*b*)*b+
295,a+b,(a|b)*(a)*b
296,(a*ba*b)*a*ba*,(a|b|e)*b
297,(a|(b*bb))*,(a+b)b(a+b)
298,(ab|ba)*,(ab+ba)*(a+b)+(a+b?)
299,(ab|ba)*,(ab+ba)*(a+b)+(a+b)?
300,(a*ba*b)*a*ba*,(a)*b(a*b+a*b+)*
301,(a|b)*baa(a|b)*b,[ab]*(baa)[a]*b*
302,(ab|ba)*,(ab+ba?)(ab+ba)*(aa+bb+ab+ba)*
303,(ab|ba)*,(ab+ba)(ab+ba)*(a+b)*
304,a+b,(a|b)*b
305,(a*ba*b)*a*ba*,(a|b)*b
306,a+b,(a*b)+
307,(a*ba*b)*a*ba*,(a*b)+
308,a+b,(a|b)*(b)
309,(a*ba*b)*a*ba*,(a|b)*(b)
310,(a*ba*b)*a*ba*,a*b(a*bb*)*
311,(a|b)*baa(a|b)*b,(baa)*(a|b)*(baa)*b
312,(a|b)*baa(a|b)*b,(a|b)*(baa)*(a|b)*b
313,(a|b)*baa(a|b)*b,(a|b|baa)*b
314,(ab|ba)*,(ab+ba)(ab+ba)*(aa+bb+ab+ba)*
315,(a|b)*baa(a|b)*b,((b|a)*b+a+a*(b|a)+b)
316,(ab|ba)*,(ab+ba)(aa+ab+ba+bb)*
317,(a|baa)*,"(a)*b+a{3,}"
318,(a|(b*bb))*,a*b(b+a)*ba*
319,(a|b)(a|b)+aaa+,ab|ab+(a|b)*aaa
320,(a|(b*bb))*,a*bb*a*bb*a*
321,(a|b)*baa(a|b)*b,(a|b)*baa*(a|b)*b*
322,b*a*,(a)(a)*(bb)(b)*(a)(a*)
323,(a|(b*bb))*,(a|b)*bba(a|b)*|(a|b)*bbb(a|b)*|(a|b)*abb(a|b)*
324,(a*ba*b)*a*ba*,a*b+(a|bb)*
325,(a*ba*b)*a*ba*,a*(b|bbb)+(a|bb)*
326,(a*ba*b)*a*ba*,a*(b+)(a|bb)*
327,(a|b)*baa(a|b)*b,a*b*(ba+)*b
328,(a*ba*b)*a*ba*,(a)*b(a)*b
329,(a*ba*b)*a*ba*,a*ba*b
330,(a|(b*bb))*,a*b+a*
331,(a|(b*bb))*,a*(b*b)a*
332,(a*ba*b)*a*ba*,a*ba*|a*bbb*a*
333,(a|(b*bb))*,a*bb*a*
334,(a|(b*bb))*,(a)*bb*(a)*
335,(a|baa)*,"(a)b{2,}"
336,(a|(b*bb))*,a*(b*bb*)a*
337,(a*ba*b)*a*ba*,a*(b+)(bb)*a*
338,(a*ba*b)*a*ba*,a*b+(bb*|a*)
339,(a*ba*b)*a*ba*,a*(bb)*b+a*
340,(a|(b*bb))*,b*a*ba*b*
341,(a|(b*bb))*,(ab)*(b+b+)(ab)*
342,(a*ba*b)*a*ba*,(a*b(a*bb)*a*|a*(a*bb)*a*b|a*b(a*b)*a*b)
343,(a*ba*b)*a*ba*,(a*(b)((a)*bb)*(a)*(a*(b))*)
344,(a*ba*b)*a*ba*,(a)*(b)*(b)(a)*(bb)*(a)*
345,(ab|ba)*,(ab|ba?)*(aa|ab|bb|ba)
346,(a*ba*b)*a*ba*,(a*ba*)(a*ba*ba*ba*)*
347,(a*ba*b)*a*ba*,(a|ab+|b)+ab+
348,(a*ba*b)*a*ba*,([a]*[b][a]*[b][a]*)+
349,(ab|ba)*,((ab)|(ba))*((a|b)(a|b))
350,(a|b)*baa(a|b)*b,(a|b)+b*aa+b+
351,(a*ba*b)*a*ba*,(b|(ab|ba)+)
352,a(a|b)a(a|b)*,a(a|b)*a
353,(a|(b*bb))*,(a+(bb))*a*(bb*)(a+(bb))*
354,(a*ba*b)*a*ba*,a*b(a)*bb*
355,(a*ba*b)*a*ba*,a*b(a*ba*ba*b)*a*
356,(a*ba*b)*a*ba*,(a*)b((a*)|(b+(a*)+b))+(a*)
357,(a*ba*b)*a*ba*,a*b(ba*b+|a*)*
358,(a*ba*b)*a*ba*,a*b(a*ba)*a*
359,(a|b)(a|b)+aaa+,a*b(a|ba*b)*
360,(a|baa)*,a*b(a*ba*b)*a*
361,(a|b)*baa(a|b)*b,(a|b)*(bba)(a|b)*b
362,(a|(b*bb))*,(a|b)*bba(a|b)*
363,(a*ba*b)*a*ba*,a*b((ba|a)*b)a*
364,(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa*
365,(a|b)(a|b)+aaa+,(a|b)(a|b)*(aa)(a)*
366,(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa*
367,(a|b)(a|b)+aaa+,((a|b)*(a|b))aa(a)*
368,(a|b)(a|b)+aaa+,((a|b)*(a|b))aaa(a)*
369,(a|b)(a|b)+aaa+,(a|b)+aaa
370,(a|b)(a|b)+aaa+,((a|b)+)aaa
371,(a|b)(a|b)+aaa+,"(a|b){1,}aaa"
372,(a|b)(a|b)+aaa+,((a|b)*(a|b))+aaa+
373,(a|b)(a|b)+aaa+,(a|b)+(aaa)
374,(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa+
375,(a|b)(a|b)+aaa+,a(a|b)*aaa
376,(ab|ba)*,(ab)*(ba)*(ab?)|(ba)*(ab)*(ba?)
377,(a*ba*b)*a*ba*,a(ba|bb)*
378,(a|baa)*,b*ab*ab*
379,(a|b)*baa(a|b)*b,(ab*baa*b)
380,a+b,(ab)+
381,(a|b)*baa(a|b)*b,(a|b)*(baa)b*
382,(a|b)*baa(a|b)*b,[ab]*(baa)b*
383,(a*ba*b)*a*ba*,a*b(a|(bb|aba))*
384,(a*ba*b)*a*ba*,(((a*)+b+(a*)+b+(a*))|(a*))+b+(((a*)+b+(a*)+b+(a*))|(a*))
385,(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa
386,(a|b)(a|b)+aaa+,(a|b)(a|b)*aa*
387,(b|(a*aa))*,(a+b)*aa(a+b)*
388,(a|b)*baa(a|b)*b,((a|b)*baa(a|b)*)*b
389,(a|b)*baa(a|b)*b,(a|baa)*b
390,(a|b)*baa(a|b)*b,(ba|a|baa)*b
391,(a|baa)*,(a)(b|aa*a)*
392,(a|b)(a|b)+aaa+,(a+|b+)+aaa
393,(a|b)(a|b)+aaa+,(a|b)(a|b)*aaaa*
394,(a|b)(a|b)+aaa+,(a|b)+aaa+
395,(a|b)(a|b)+aaa+,(a|b)(a|b)*(aaa)a*
396,(a|b)(a|b)+aaa+,((a|b)+(aaa+))
397,(a|b)(a|b)+aaa+,(a|b)(a|b)*(aaa)(a)*
398,(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa(a)*
399,(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa
400,(a|b)(a|b)+aaa+,((a|b)|(b|a))(a|b)*(a)(a)(a)(a*)
401,(a|b)(a|b)+aaa+,(((a|b)+)+)aaa
402,(a|b)(a|b)+aaa+,(aa*|bb*)+aaa+
403,(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa
404,(a|b)(a|b)+aaa+,(((a)|(b))+)+(aaa)+
